id	data	nr_rejestr	usluga_id
1	2012-01-02	WND 27304	6
2	2012-01-02	SK 7897N	2
3	2012-01-03	SZY 3841A	3
4	2012-01-03	WF 25082	3
5	2012-01-04	DW G40VV	11
6	2012-01-04	SG O60RV	22
7	2012-01-05	WF S23TN	8
8	2012-01-05	PO 60910	9
9	2012-01-05	WL 16782	1
10	2012-01-05	WB 3921Q	10
11	2012-01-09	WD L6789	12
12	2012-01-09	PZ 3891T	1
13	2012-01-10	DB 3457K	13
14	2012-01-10	PO 1690B	14
15	2012-01-11	SG 4101U	15
16	2012-01-11	SK 16842	16
17	2012-01-12	WA 16880	21
18	2012-01-12	WND 56KC	24
19	2012-01-16	WZY 1245S	25
20	2012-01-17	WND RD345	11
21	2012-01-17	SK 6579W	12
22	2012-01-18	SJZ D6627	6
23	2012-01-18	SY E6309	25
24	2012-01-19	SW RJ349	21
25	2012-01-19	SH SA138	24
26	2012-01-20	POS 325JE	5
27	2012-01-23	DW 7323W	6
28	2012-01-23	WF L67AK	1
29	2012-01-24	SK 48689	8
30	2012-01-24	SG 3931S	2
31	2012-01-25	SWD 34568	11
32	2012-01-25	STY M52XG	10
33	2012-01-26	DB L678W	12
34	2012-01-27	DB 8757A	13
35	2012-01-31	PZ 16788	14
36	2012-01-31	WD 16894	15
37	2012-02-01	PRA Z67OX	16
38	2012-02-02	WF 24072	21
39	2012-02-03	WU 74242	25
40	2012-02-03	PZ Y30EJ	24
41	2012-02-06	WND 4111S	11
42	2012-02-06	WD L668S	12
43	2012-02-07	WD D6848	25
44	2012-02-07	SRB 23411	24
45	2012-02-09	WF 5490N	24
46	2012-02-09	WN S98QG	25
47	2012-02-10	SG 28314	24
48	2012-02-10	SG 7356J	25
49	2012-02-13	DW 54322	21
50	2012-02-13	SK 16906	22
51	2012-02-14	PZ 3571C	21
52	2012-02-15	SZ 77D14	22
53	2012-02-15	WND 25284	22
54	2012-02-15	PO E95RH	22
55	2012-02-16	DW 16794	22
56	2012-02-16	SCI 892NR	22
57	2012-02-17	WF 852YS	22
58	2012-02-20	PO 87574	25
59	2012-02-20	PO 3561B	22
60	2012-02-20	WF N90SL	24
61	2012-02-21	SPI 28920	21
62	2012-02-22	SC 7545S	24
63	2012-02-22	WF 16784	22
64	2012-02-23	ST 24880	25
65	2012-02-23	SG 16904	21
66	2012-02-24	SK T6068	22
67	2012-02-27	SH 7501V	24
68	2012-02-27	PZ 6A682	25
69	2012-02-28	PO 3631H	22
70	2012-02-28	SI 16886	21
71	2012-02-29	WZ Z78PZ	21
72	2012-03-02	PO N574Z	22
73	2012-03-05	ST LF354	25
74	2012-03-05	ST 4356G	24
75	2012-03-06	SK 3871D	21
76	2012-03-06	PZ 6367J	22
77	2012-03-07	ST RL351	1
78	2012-03-07	SK 64243	2
79	2012-03-08	SO 16832	4
80	2012-03-08	SD 3257G	3
81	2012-03-09	ST 16836	6
82	2012-03-12	SG 527LS	7
83	2012-03-12	WF 57577	6
84	2012-03-13	SZA 655CS	8
85	2012-03-13	WE 83130	9
86	2012-03-14	DW 28718	11
87	2012-03-14	SJ 7557F	10
88	2012-03-15	WPR L6904	12
89	2012-03-16	PWA 1234A	13
90	2012-03-16	STA 69798	14
91	2012-03-19	SK 761XF	16
92	2012-03-19	SH 16830	15
93	2012-03-20	SH F6286	21
94	2012-03-20	WF LG353	24
95	2012-03-21	WD 16900	25
96	2012-03-21	DB 7579M	26
97	2012-03-22	SK 26092	21
98	2012-03-22	SK A44GU	22
99	2012-03-23	PO 60910	19
100	2012-03-23	PO 60910	23
101	2012-03-26	WF 852YS	19
102	2012-03-26	PO 87574	19
103	2012-03-26	SGL F7185	19
104	2012-03-26	PPL O586	23
105	2012-03-26	SRB 23411	19
106	2012-03-26	WND 25284	19
107	2012-03-26	SK G7127	19
108	2012-03-26	SY E6309	19
109	2012-03-26	PO 34574	19
110	2012-03-26	WF 852YS	23
112	2012-03-26	SRS 754PX	19
113	2012-03-27	WZ Z78PZ	19
114	2012-03-27	PO 65354	19
115	2012-03-28	PZ 3901W	19
116	2012-03-28	DB 6535A	19
117	2012-03-28	SH SA138	19
118	2012-03-28	WPR L6904	19
119	2012-03-28	SI 16886	19
120	2012-03-28	PP TE554	19
121	2012-03-28	DB 3561K	19
122	2012-03-28	WN S98QG	19
123	2012-03-28	WF N90SL	19
124	2012-03-28	SK 55355	19
125	2012-03-28	SG 28314	19
126	2012-03-28	WD O62FG	19
127	2012-03-28	WD A38DW	19
128	2012-03-28	DW 28718	19
129	2012-03-28	WF 25082	19
130	2012-03-28	SK 557SX	19
131	2012-03-28	WL 16782	19
132	2012-03-28	SG 527LS	19
133	2012-03-28	SK 48689	19
134	2012-03-28	SK A44GU	19
135	2012-03-28	SG 86463	19
136	2012-03-28	ST V7207	19
137	2012-03-28	WF 16784	19
138	2012-03-28	PWR G38FY	19
139	2012-03-28	PZ Z99ZO	19
140	2012-03-28	WX RG347	19
141	2012-03-28	WD P5884	19
142	2012-03-28	SK 34572	19
143	2012-03-29	PO 76464	19
144	2012-03-29	WND 27304	19
145	2012-03-29	WA 16880	19
146	2012-03-29	PZ LR356	19
147	2012-03-30	WD L668S	19
148	2012-03-30	WF 7893E	19
149	2012-03-30	ST O68AY	19
150	2012-03-30	ST RL351	19
151	2012-03-30	SJ 7557F	19
152	2012-03-30	SJZ D6627	19
153	2012-03-30	SCI 892NR	19
154	2012-03-30	SO 16832	19
155	2012-03-30	WD 24678	19
156	2012-03-30	POS 325JE	19
157	2012-03-30	SG LD355	19
158	2012-03-30	WND 3344T	19
159	2012-03-30	SCZ Q6245	19
160	2012-03-30	DB 8757A	19
161	2012-03-30	SWD 34568	19
162	2012-03-30	WND 56KC	19
163	2012-03-30	SK 16842	19
164	2012-03-30	SPI 28920	19
165	2012-03-30	DW 34332	19
166	2012-03-30	SD 3257G	19
167	2012-04-02	SH 34566	19
168	2012-04-02	WND 4111S	19
169	2012-04-03	WND C6326	19
170	2012-04-03	SG S5667	19
171	2012-04-03	DB L678W	19
172	2012-04-03	SG 45356	19
173	2012-04-03	SK 865ED	19
174	2012-04-03	WF 8512R	19
175	2012-04-03	DB N574A	19
176	2012-04-03	SRC RF346	19
177	2012-04-03	SZ 77D14	19
178	2012-04-03	WD 24274	19
179	2012-04-03	WND 5279H	19
180	2012-04-03	SK M54EB	19
181	2012-04-03	ST LF354	19
182	2012-04-03	WD L6789	19
183	2012-04-03	WD H7245	19
184	2012-04-03	WF 5490N	19
185	2012-04-03	WZY 1245S	19
186	2012-04-03	SG 7356J	19
187	2012-04-03	SMY 7895G	19
188	2012-04-03	SZY 3841A	19
189	2012-04-03	SK 8556V	19
190	2012-04-03	ST 3851Q	19
191	2012-04-04	WND 34570	19
192	2012-04-04	SPS 690HD	19
193	2012-04-04	WF 14UV3	19
194	2012-04-04	WB 3921Q	19
195	2012-04-04	PZ 16788	19
196	2012-04-04	SK 7897N	19
197	2012-04-04	WF 57577	19
198	2012-04-04	WD N91XU	19
199	2012-04-04	PO N574Z	19
200	2012-04-04	SG 3581R	19
201	2012-04-04	SB 23815	19
202	2012-04-04	WND 5301J	19
203	2012-04-04	WD 16900	19
204	2012-04-04	WD 16900	23
205	2012-04-04	SC 7545S	19
206	2012-04-04	ST 16838	19
207	2012-04-04	WF 49800	19
208	2012-04-04	WF RM745	19
209	2012-04-05	PO 1690B	19
210	2012-04-05	DB P5889	19
211	2012-04-05	SG 16904	19
212	2012-04-05	WD D6848	23
213	2012-04-05	SH 59799	19
214	2012-04-05	WD D6848	19
215	2012-04-05	DW S706S	19
216	2012-04-05	DB E957H	19
217	2012-04-05	PZL 16852	19
218	2012-04-05	SK 3871D	19
219	2012-04-05	STA 69798	19
220	2012-04-05	SZO S12EM	19
221	2012-04-05	PO 794MD	19
222	2012-04-05	PZ 6A682	19
223	2012-04-05	SG RK350	19
224	2012-04-05	DW G40VV	19
225	2012-04-05	DB 16902	19
226	2012-04-05	WF LG353	19
227	2012-04-05	WF RM754	19
228	2012-04-05	DW S706S	23
229	2012-04-05	PZ 3571C	19
230	2012-04-05	SH 28112	19
231	2012-04-05	STY M52XG	19
232	2012-04-05	WD 16894	19
233	2012-04-05	WF L67AK	19
234	2012-04-05	SK 761XF	19
235	2012-04-05	DB 7579M	19
236	2012-04-06	PRA Z67OX	23
238	2012-04-06	SG O60RV	19
239	2012-04-06	PO S706A	19
240	2012-04-06	DW 54322	19
241	2012-04-06	PWA 1234A	19
244	2012-04-06	WND 3941D	19
245	2012-04-06	PZ 16896	23
246	2012-04-06	PO 34576	19
247	2012-04-06	PRA Z67OX	19
248	2012-04-06	DW 16794	19
249	2012-04-06	POB 80908	19
250	2012-04-06	PZ L74SB	19
251	2012-04-06	PZ 16896	19
254	2012-04-06	ST 16892	19
256	2012-04-06	DWR LL545	19
257	2012-04-06	PZ 16792	19
258	2012-04-06	PO S706A	23
259	2012-04-06	DW 16794	23
260	2012-04-06	WD W5706	19
261	2012-04-06	ST 16836	19
263	2012-04-09	PZ 3891T	19
264	2012-04-09	SK R79LM	23
265	2012-04-09	WND Y32DP	19
266	2012-04-09	SK 6579W	19
267	2012-04-09	SK 1246F	23
268	2012-04-09	WI W1236	19
269	2012-04-09	PO E95RH	19
270	2012-04-09	WF P48WY	23
271	2012-04-09	WF 24072	19
272	2012-04-09	WF P48WY	19
273	2012-04-09	PZ 6367J	19
274	2012-04-09	WD R78KN	19
275	2012-04-09	DB 6091A	19
276	2012-04-09	DB 3457K	19
278	2012-04-09	SH 16830	19
279	2012-04-09	DB 3457K	23
281	2012-04-09	PO 27102	19
282	2012-04-09	PO 3561B	23
283	2012-04-09	SK 1246F	19
284	2012-04-09	SH F6286	19
285	2012-04-09	SG 3931S	19
286	2012-04-09	SW RJ349	19
287	2012-04-09	PO 3561B	19
288	2012-04-09	WF W2234	19
289	2012-04-09	SK 6579W	23
290	2012-04-09	SG 4101U	23
291	2012-04-09	SM E93DN	19
292	2012-04-09	DW 7323W	19
293	2012-04-09	SK R79LM	19
294	2012-04-09	ST 24880	19
295	2012-04-09	SG 4101U	19
296	2012-04-09	SZA 655CS	19
298	2012-04-09	WND RD345	19
299	2012-04-09	SH 7501V	19
300	2012-04-09	PZ PK128	19
301	2012-04-10	DB N91XS	19
302	2012-04-10	SK T6068	19
303	2012-04-10	WY N89WP	19
304	2012-04-10	SK 64243	19
306	2012-04-11	WND Q5644	19
307	2012-04-11	WU 74242	19
308	2012-04-12	SMI 56466	19
309	2012-04-12	WD 27708	19
310	2012-04-13	WE 83130	19
311	2012-04-13	PO 3631H	19
312	2012-04-13	WE 83130	23
313	2012-04-13	POT 6468L	19
314	2012-04-13	POT 6468L	23
315	2012-04-13	WD 6479M	19
316	2012-04-13	PZ Y30EJ	19
317	2012-04-13	ST 4356G	19
318	2012-04-13	WF S23TN	19
319	2012-04-13	WF C5685	23
320	2012-04-13	WF C5685	19
321	2012-04-16	PTU CD551	19
323	2012-04-17	WX RG347	21
