Nr	Typ	Rodzaj	Kolor	Cena	Data
1	szosowy_miejski	meskie	srebrny	2099	2012-01-02
2	miejski	damskie	bialy	1499	2012-01-03
3	rowerki_i_pojazdy	dziecko	srebrny	122	2012-01-05
4	gorski_rekreacyjny	damskie	zielony	849	2012-01-10
5	gorski_rekreacyjny	damskie	bialy	1299	2012-01-10
6	gorski_rekreacyjny	meskie	niebieski	999	2012-01-18
7	szosowy_miejski	damskie	bialy	1249	2012-01-25
8	skladany	damskie	niebieski	1299	2012-01-26
9	gorski_sportowy	damskie	czerwony	1999	2012-01-30
10	skladany	dziecko	czerwony	649	2012-01-31
11	miejski	meskie	niebieski	1899	2012-02-01
12	gorski_rekreacyjny	dziecko	brazowy	399	2012-02-08
13	szosowy_wyczynowy	dziecko	srebrny	1599	2012-02-08
14	uniwersalny	meskie	zielony	1049	2012-02-09
15	szosowy_wyczynowy	dziecko	brazowy	1799	2012-02-15
16	miejski	meskie	niebieski	499	2012-02-22
17	szosowy_miejski	damskie	bialy	1188	2012-02-23
18	play-bike	meskie	czarny	1799	2012-02-23
19	skladany	meskie	srebrny	1399	2012-02-23
20	uniwersalny	damskie	srebrny	1299	2012-02-23
21	miejski	meskie	srebrny	799	2012-02-23
22	skladany	dziecko	niebieski	799	2012-02-23
23	gorski_sportowy	damskie	czerwony	1999	2012-02-23
24	szosowy_miejski	damskie	niebieski	1999	2012-02-24
25	uniwersalny	dziecko	czarny	849	2012-02-24
26	gorski_rekreacyjny	dziecko	niebieski	499	2012-02-24
27	szosowy_wyczynowy	dziecko	czerwony	1799	2012-02-24
28	gorski_sportowy	meskie	brazowy	2099	2012-02-28
29	miejski	meskie	srebrny	1399	2012-02-28
30	gorski_sportowy	damskie	czarny	1499	2012-02-29
31	szosowy_wyczynowy	dziecko	czerwony	1599	2012-03-01
32	gorski_sportowy	damskie	rozowy	1499	2012-03-06
33	uniwersalny	damskie	srebrny	1299	2012-03-07
34	skladany	meskie	zielony	1399	2012-03-07
35	uniwersalny	damskie	srebrny	1149	2012-03-07
36	uniwersalny	dziecko	niebieski	549	2012-03-08
37	miejski	meskie	niebieski	1399	2012-03-14
38	skladany	damskie	srebrny	1299	2012-03-14
39	miejski	damskie	bialy	2089	2012-03-14
40	skladany	damskie	czerwony	1399	2012-03-14
41	skladany	dziecko	srebrny	799	2012-03-15
42	uniwersalny	damskie	brazowy	1149	2012-03-16
43	uniwersalny	damskie	niebieski	1299	2012-03-16
44	gorski_sportowy	damskie	czarny	1499	2012-03-16
45	gorski_sportowy	damskie	rozowy	1499	2012-03-16
46	szosowy_wyczynowy	dziecko	czerwony	1599	2012-03-20
47	gorski_rekreacyjny	meskie	zielony	899	2012-03-20
48	play-bike	meskie	niebieski	1799	2012-03-20
49	szosowy_miejski	meskie	brazowy	1399	2012-03-21
50	szosowy_miejski	meskie	czarny	1899	2012-03-21
51	szosowy_miejski	dziecko	srebrny	1299	2012-03-21
52	szosowy_wyczynowy	dziecko	czerwony	1599	2012-03-23
53	gorski_rekreacyjny	damskie	bialy	849	2012-03-27
54	uniwersalny	damskie	zielony	1149	2012-03-27
55	gorski_rekreacyjny	damskie	brazowy	799	2012-03-27
56	gorski_rekreacyjny	meskie	brazowy	749	2012-03-27
57	skladany	dziecko	niebieski	799	2012-03-28
58	gorski_sportowy	meskie	srebrny	2099	2012-03-28
59	szosowy_wyczynowy	damskie	czerwony	2499	2012-03-28
60	gorski_sportowy	dziecko	bialy	1099	2012-03-28
61	skladany	damskie	czerwony	1399	2012-03-28
62	gorski_sportowy	dziecko	srebrny	949	2012-04-03
63	uniwersalny	damskie	czerwony	1149	2012-04-03
64	uniwersalny	meskie	brazowy	1049	2012-04-03
65	gorski_rekreacyjny	damskie	niebieski	849	2012-04-03
66	gorski_rekreacyjny	meskie	niebieski	899	2012-04-03
